PMTID_sim Type X Y Z Theta Phi PMTID RelativeDEV Gain TimeOffset DarkRateV MeanGain
0 Hamamatsu -920.3615 -110.6028 19365.0 2.7406 -173.1474 333451520 0.218959 0.965998 -27.4839 5661.13 1.01603
1 Hamamatsu -487.3632 -788.5273 19365.0 2.7406 -121.7189 333455872 0.225273 0.972052 -28.9919 6846.15 1.01153
2 HighQENNVT 312.6295 -872.6747 19365.0 2.7406 -70.2903 333459712 0.259757 0.976493 6.95108 13455.6 1.1106
3 Hamamatsu 877.2058 -299.6802 19365.0 2.7406 -18.8617 333463808 0.234299 0.977488 -28.6579 6465.78 1.02202
4 HighQENNVT 781.2283 498.9796 19365.0 2.7406 32.5668 333467904 0.243923 0.966135 11.7661 17835.6 1.11351
5 Hamamatsu 96.9699 921.8975 19365.0 2.7406 83.9954 333472256 0.227745 0.963991 -33.9659 6998.16 1.01538
6 HighQENNVT -660.3088 650.6079 19365.0 2.7406 135.424 333476096 0.234539 0.97981 9.62509 12695.5 1.09945
7 Hamamatsu -1288.78 -507.21 19365.0 4.0909 -158.5175 332402944 0.227236 0.963369 -30.8079 7035.07 1.01432
8 Hamamatsu -1001.88 -956.3289 19365.0 4.091 -136.3326 332407296 0.227649 0.976032 -25.9449 7486.87 1.01516
9 Hamamatsu -406.9884 -1323.849 19365.0 4.0909 -107.0889 332411136 0.227488 0.966611 -30.3509 6250.62 1.01655
10 Hamamatsu 123.0261 -1379.5626 19365.0 4.091 -84.904 332415488 0.225014 0.97274 -28.5529 5938.6 1.01019
11 Hamamatsu 781.2737 -1143.6028 19365.0 4.0909 -55.6603 332419328 0.228229 0.973456 -28.3319 6718.35 1.01272
12 Hamamatsu 1155.291 -763.9576 19365.0 4.091 -33.4754 332423680 0.238425 0.96922 -22.6559 7333.08 1.01488
13 Hamamatsu 1381.2208 -102.2003 19365.0 4.0909 -4.2318 332427520 0.23368 0.960918 -28.6289 6844.56 1.01994
14 Hamamatsu 1317.5982 426.9231 19365.0 4.091 17.9532 332431872 0.217201 0.964117 -31.0869 7438.26 1.01105
15 Hamamatsu 941.0805 1016.1611 19365.0 4.0909 47.1968 332435712 0.236514 0.991092 -26.8749 7579.68 1.01614
16 Hamamatsu 487.7271 1296.322 19365.0 4.091 69.3817 332440064 0.230073 0.969736 -32.8449 7264.64 1.0113
17 Hamamatsu -207.7127 1369.3324 19365.0 4.0909 98.6254 332443904 0.212945 0.970276 -25.1739 6196.79 1.01054
18 Hamamatsu -709.4125 1189.564 19365.0 4.091 120.8103 332448256 0.227657 0.963639 -26.4389 6566.98 1.01482
19 Hamamatsu -1200.0939 691.3685 19365.0 4.0909 150.054 332452096 0.215349 0.974731 -31.9259 5222.41 1.01673
20 Hamamatsu -1372.35 187.04 19365.0 4.091 172.2389 332456192 0.213472 0.969485 -30.8039 6505.19 1.01058
