#Position file for Large PMT in CD     
#Updated by Yuning Su (suyn26 AT mail2.sysu.edu.cn) in 20250425.     
"#Have installed 17596 CD-LPMT  more detail in https://docs.ihep.ac.cn/link/AR573CA85D4A004CE8B5AC50662739AB3F"     
#CopyNo X Y Z Orientation_theta Orientation_phi
0 -920.361 -110.603 19365 2.7406 -173.1474
1 -487.363 -788.527 19365 2.7406 -121.7189
2 312.6295 -872.675 19365 2.7406 -70.2903
3 877.2058 -299.68 19365 2.7406 -18.8617
4 781.2283 498.9796 19365 2.7406 32.5668
5 96.9699 921.8975 19365 2.7406 83.9954
6 -660.309 650.6079 19365 2.7406 135.424
7 -1288.78 -507.21 19365 4.0909 -158.5175
8 -1001.88 -956.329 19365 4.091 -136.3325
9 -406.988 -1323.85 19365 4.0909 -107.0889
10 123.0261 -1379.56 19365 4.091 -84.904
11 781.2737 -1143.6 19365 4.0909 -55.6603
12 1155.291 -763.958 19365 4.091 -33.4754
13 1381.221 -102.2 19365 4.0909 -4.2317
14 1317.598 426.9231 19365 4.091 17.9532
15 941.0805 1016.161 19365 4.0909 47.1968
16 487.7271 1296.322 19365 4.091 69.3817
17 -207.713 1369.332 19365 4.0909 98.6254
18 -709.412 1189.564 19365 4.091 120.8103
19 -1200.09 691.3685 19365 4.0909 150.0539
20 -1372.35 187.04 19365 4.091 172.2389
21 -1899.45 -328.712 19338.16 5.6926 -170.1818
22 -1729.9 -850.533 19338.16 5.6926 -153.8182
23 -1420.2 -1303.45 19338.16 5.6926 -137.4545
24 -800.787 -1753.48 19338.16 5.6926 -114.5454
25 -274.338 -1908.06 19338.16 5.6926 -98.1818
26 274.3375 -1908.06 19338.16 5.6926 -81.8182
27 800.7874 -1753.48 19338.16 5.6926 -65.4545
28 1420.202 -1303.45 19338.16 5.6926 -42.5455
29 1729.898 -850.533 19338.16 5.6926 -26.1818
30 1899.448 -328.712 19338.16 5.6926 -9.8182
31 1915.116 219.739 19338.16 5.6926 6.5455
32 1678.52 947.9041 19338.16 5.6926 29.4546
33 1343.473 1382.401 19338.16 5.6926 45.8182
34 899.5856 1704.904 19338.16 5.6926 62.1818
35 382.8191 1889.286 19338.16 5.6926 78.5455
36 -382.819 1889.286 19338.16 5.6926 101.4545
37 -899.586 1704.904 19338.16 5.6926 117.8182
38 -1343.47 1382.401 19338.16 5.6926 134.1818
39 -1678.52 947.9042 19338.16 5.6926 150.5454
40 -1915.12 219.739 19338.16 5.6926 173.4546
41 -2457.26 0 19278.02 7.264 180
42 -2395.65 -546.792 19278.02 7.264 -167.1428
43 -2213.92 -1066.17 19278.02 7.264 -154.2857
44 -1921.16 -1532.08 19278.02 7.264 -141.4285
45 -1532.08 -1921.16 19278.02 7.264 -128.5715
46 -1066.17 -2213.92 19278.02 7.264 -115.7143
47 -546.792 -2395.65 19278.02 7.264 -102.8572
48 0 -2457.26 19278.02 7.264 -90
49 546.792 -2395.65 19278.02 7.264 -77.1428
50 1066.166 -2213.92 19278.02 7.264 -64.2857
51 1532.077 -1921.16 19278.02 7.264 -51.4285
52 1921.164 -1532.08 19278.02 7.264 -38.5715
53 2213.915 -1066.17 19278.02 7.264 -25.7144
54 2395.652 -546.792 19278.02 7.264 -12.8571
55 2457.261 0 19278.02 7.264 0
56 2395.652 546.7919 19278.02 7.264 12.8571
57 2213.915 1066.165 19278.02 7.264 25.7143
