CopyNo X Y Z Orientation_theta Orientation_phi
50000 -1487.68 -114.12 20502 4.1624 -175.6134
50001 -1205.3 -879.478 20502 4.1624 -143.8827
50002 -576.011 -735.794 20502 2.6096 -128.0554
50003 -351.185 -1450.14 20502 4.1624 -103.6134
50004 463.9748 -1418.08 20502 4.1624 -71.8827
50005 348.5799 -875.192 20502 2.6309 -68.2831
50006 1270.64 -782.114 20502 4.1624 -31.6134
50007 1492.052 3.0548 20502 4.1624 0.1173
50008 940.0737 61.0701 20502 2.6309 3.7169
50009 1136.484 966.7639 20502 4.1624 40.3866
50010 458.1642 1419.97 20502 4.1624 72.1173
50011 232.4177 912.9349 20502 2.6309 75.7169
50012 -568.254 1379.607 20502 4.1624 112.3865
50013 -1208.89 874.5349 20502 4.1624 144.1173
50014 -796.432 503.1547 20502 2.6309 147.7169
50015 -2747.16 297.4159 20363.64 7.7275 173.8211
50016 -2747.2 -297.428 20363.64 7.7276 -173.8209
50017 -3528.92 479.1188 20240.4 9.979 172.2683
50018 -3528.98 -479.188 20240.4 9.9792 -172.2673
50019 -2397.32 -1374.13 20363.64 7.7275 -150.1789
50020 -2047.71 -1855.39 20363.64 7.7276 -137.8209
50021 -3136.57 -1686.63 20240.4 9.979 -151.7317
50022 -2573.35 -2461.95 20240.4 9.9792 -136.2674
50023 -1131.78 -2520.8 20363.64 7.7275 -114.179
50024 -566.061 -2704.66 20363.64 7.7276 -101.8209
50025 -1546.16 -3208.14 20240.4 9.979 -115.7317
50026 -634.781 -3504.34 20240.4 9.9792 -100.2673
50027 566.0611 -2704.62 20363.64 7.7275 -78.179
50028 1131.804 -2520.84 20363.64 7.7276 -65.8209
50029 634.8264 -3504.26 20240.4 9.979 -79.7317
50030 1546.25 -3208.18 20240.4 9.9792 -64.2673
50031 2047.686 -1855.36 20363.64 7.7275 -42.179
50032 2397.359 -1374.14 20363.64 7.7276 -29.8209
50033 2573.335 -2461.86 20240.4 9.979 -43.7317
50034 3136.665 -1686.61 20240.4 9.9792 -28.2673
50035 2747.164 -297.416 20363.64 7.7275 -6.1789
50036 2747.204 297.4284 20363.64 7.7276 6.1791
50037 3528.918 -479.119 20240.4 9.979 -7.7317
50038 3528.981 479.1877 20240.4 9.9792 7.7327
50039 2397.319 1374.128 20363.64 7.7275 29.8211
50040 2047.71 1855.39 20363.64 7.7276 42.1791
50041 3136.573 1686.63 20240.4 9.979 28.2683
50042 2573.346 2461.954 20240.4 9.9792 43.7327
